Título,Veículo,Resumo,Resumo bruto,Link,Data
Veneziano Vital do Rêgo defende reforma tributária conclusiva - Senado,Senado,Veneziano Vital do Rêgo defende reforma tributária conclusiva,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNZm8wNWFuanZjaWdWbHRqcW1DOXUzcGdLVjJTQXA3eHlDVXB3TEdCdkRJVkFMUFpGOGZNMnZXR1hEcmFqMmJWUXJNVE8tdjFvaC0tb29ES0gtQlVXQ3l1bFNLOHZ3bHF2Y1Q5a1Zjb2tycVBNZEVPeTFpczRzVEdtMktzS3oyb0FxUmFEUkE3MldsRUFyMzVRQ1VWZDNGd3FZY0R0SFZuSXprR3lnYUN0b1MzNUpQd0NvTU9UQXhQWkNUbC1lREgwS29pSHhteTF1NEtCVVJR?oc=5"" target=""_blank"">Veneziano Vital do Rêgo defende reforma tributária conclusiva</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Senado</font>",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNZm8wNWFuanZjaWdWbHRqcW1DOXUzcGdLVjJTQXA3eHlDVXB3TEdCdkRJVkFMUFpGOGZNMnZXR1hEcmFqMmJWUXJNVE8tdjFvaC0tb29ES0gtQlVXQ3l1bFNLOHZ3bHF2Y1Q5a1Zjb2tycVBNZEVPeTFpczRzVEdtMktzS3oyb0FxUmFEUkE3MldsRUFyMzVRQ1VWZDNGd3FZY0R0SFZuSXprR3lnYUN0b1MzNUpQd0NvTU9UQXhQWkNUbC1lREgwS29pSHhteTF1NEtCVVJR?oc=5,2019-01-31
Entenda por que os pobres pagam mais impostos no Brasil - Brasil de Fato,Brasil de Fato,Entenda por que os pobres pagam mais impostos no Brasil,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNS01WdXRQSlZRSnJ3X2RJQkF6UnlleERhWWJ3WDBWTUJETmZtSzdlVWktQjc4MjdsaUozcDFBeU5ncmlWclZzLTk2dkYzX0tPVEpCUEJlTmVSSkV6VjFmdWU0VUdGWUVxMFd3X0xCWm5ZSUN1V2xxdFdyWjIxTlZsMWtEQ0FYUXFndEpYU1dmcjBVbW1GcW4yRFB3VGplQQ?oc=5"" target=""_blank"">Entenda por que os pobres pagam mais impostos no Brasil</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Brasil de Fato</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxNS01WdXRQSlZRSnJ3X2RJQkF6UnlleERhWWJ3WDBWTUJETmZtSzdlVWktQjc4MjdsaUozcDFBeU5ncmlWclZzLTk2dkYzX0tPVEpCUEJlTmVSSkV6VjFmdWU0VUdGWUVxMFd3X0xCWm5ZSUN1V2xxdFdyWjIxTlZsMWtEQ0FYUXFndEpYU1dmcjBVbW1GcW4yRFB3VGplQQ?oc=5,2019-01-28
Líder do PSD promete apoio às propostas do governo - Portal da Câmara dos Deputados,Portal da Câmara dos Deputados,Líder do PSD promete apoio às propostas do governo,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQY0tTcE1iNTlZWVdPY0RyRmQ0RGNHRUV3LUJ1eGlKenY4bFhEN3FNUkRZNVBWbVd3UEJjU2hXZ0Uwc0FPVUJqX0w1QjF6R2t0TWZ0TlZBalhmYXgzSFphM1NuV3ZSQUhTc1lNMkE2TmVJSzY0M1l4X2daVV9kb1JYZ2ctSkYwNjhXN1hFazc2aTJSdDBYRXNZZFNjcVJ2T0xRckJmS1JjdHh1b0REYkVfdkd5NnJoQTBCVk4yOHpfSQ?oc=5"" target=""_blank"">Líder do PSD promete apoio às propostas do governo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Portal da Câmara dos Deputados</font>",https://news.google.com/rss/articles/CBMivwFBVV95cUxQY0tTcE1iNTlZWVdPY0RyRmQ0RGNHRUV3LUJ1eGlKenY4bFhEN3FNUkRZNVBWbVd3UEJjU2hXZ0Uwc0FPVUJqX0w1QjF6R2t0TWZ0TlZBalhmYXgzSFphM1NuV3ZSQUhTc1lNMkE2TmVJSzY0M1l4X2daVV9kb1JYZ2ctSkYwNjhXN1hFazc2aTJSdDBYRXNZZFNjcVJ2T0xRckJmS1JjdHh1b0REYkVfdkd5NnJoQTBCVk4yOHpfSQ?oc=5,2019-01-25
"Projeto prevê a padronização dos diários oficiais da União, dos Estados e dos Municípios - Confederação Nacional de Municípios (CNM)",Confederação Nacional de Municípios (CNM),"Projeto prevê a padronização dos diários oficiais da União, dos Estados e dos Municípios","<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQdDNOWWxyQVNocGUzYlBBTDdDdWpQN09nUGprTkNVUXdKWnk4bVpXNTNBcElVdTRTM0hURnFEcFBkNVN1bkdEMXJvc3I5SnZQUHlldjhYYjNmUTVZYW9WUm5RMTdJYXhlQ0pkNGhZOURKV29oQ1lzT2xCT3NrRmJBYlEtalRITndyaVBGRW5HMEdIWV9IZS1ZWTV4WGpGQkZNay1jWTVVVFg4TUxvQ0h5MEk0MUdrWGNZaFN6ZDc2cFhWVXctNVE?oc=5"" target=""_blank"">Projeto prevê a padronização dos diários oficiais da União, dos Estados e dos Municípios</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Confederação Nacional de Municípios (CNM)</font>",https://news.google.com/rss/articles/CBMixgFBVV95cUxQdDNOWWxyQVNocGUzYlBBTDdDdWpQN09nUGprTkNVUXdKWnk4bVpXNTNBcElVdTRTM0hURnFEcFBkNVN1bkdEMXJvc3I5SnZQUHlldjhYYjNmUTVZYW9WUm5RMTdJYXhlQ0pkNGhZOURKV29oQ1lzT2xCT3NrRmJBYlEtalRITndyaVBGRW5HMEdIWV9IZS1ZWTV4WGpGQkZNay1jWTVVVFg4TUxvQ0h5MEk0MUdrWGNZaFN6ZDc2cFhWVXctNVE?oc=5,2019-01-09
Trajetória fiscal brasileira é insustentável - FecomercioSP,FecomercioSP,Trajetória fiscal brasileira é insustentável,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxPTTFDb29jYndqaHZNeFltQ2w1SE4wT0NqYVFDZUZkNEhRUGtDTW1WU09RZzE3WndLRkJEUW1nQmp1c3FKSHhnRGRoM211M0FNQmcza2x6YU1VSGRLcVQ1bmVnRERtUUhtcWFPM0VaV0JsYUxfYV9nTTRFOGhVRlhFY0U1bVViLTZleWc?oc=5"" target=""_blank"">Trajetória fiscal brasileira é insustentável</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FecomercioSP</font>",https://news.google.com/rss/articles/CBMiigFBVV95cUxPTTFDb29jYndqaHZNeFltQ2w1SE4wT0NqYVFDZUZkNEhRUGtDTW1WU09RZzE3WndLRkJEUW1nQmp1c3FKSHhnRGRoM211M0FNQmcza2x6YU1VSGRLcVQ1bmVnRERtUUhtcWFPM0VaV0JsYUxfYV9nTTRFOGhVRlhFY0U1bVViLTZleWc?oc=5,2019-01-04
Governo do Amapá manterá ICMS sobre veículos automotores em 12% - Portal Governo do Amapá,Portal Governo do Amapá,Governo do Amapá manterá ICMS sobre veículos automotores em 12%,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNOTlPdkdfU0lsMEprN0g0WEp2c1hIMDBUMHZ4cDJzZDdGbWo1dGxoUDVsZG5INkVhek1qRU9obEV6VFhvTlZKRWVyYzRDYmZIcGwxWUdVMl9hVzNoUjJfTDl0MXppSFdYaWJ4SFhPSHNFZXFrYV83QlRwYXdBT2syOW5YaVV1UlVZOE85cm1XdTFmZncyWnB6TVhia1J5bXF6T3dj?oc=5"" target=""_blank"">Governo do Amapá manterá ICMS sobre veículos automotores em 12%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Portal Governo do Amapá</font>",https://news.google.com/rss/articles/CBMiowFBVV95cUxNOTlPdkdfU0lsMEprN0g0WEp2c1hIMDBUMHZ4cDJzZDdGbWo1dGxoUDVsZG5INkVhek1qRU9obEV6VFhvTlZKRWVyYzRDYmZIcGwxWUdVMl9hVzNoUjJfTDl0MXppSFdYaWJ4SFhPSHNFZXFrYV83QlRwYXdBT2syOW5YaVV1UlVZOE85cm1XdTFmZncyWnB6TVhia1J5bXF6T3dj?oc=5,2019-01-12
América Latina e Caribe em 2019: uma expansão moderada - International Monetary Fund,International Monetary Fund,América Latina e Caribe em 2019: uma expansão moderada,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPdHExMUlHS2N0QWZoVHdETGY0eTZlZFlJUkJzV1pHSXpzbS1YNzZ6RTVmam9PQkxsdGpjQTAyWTI2YlBXanhuS0VQMGtmRjdsV252Nm5jNUtMdFhIWVdXeGtTQy00M2JFSlc0enh0VmxrQWtrU3RQYXFTV3pHUXVuYkVkQUJHeHB4SjRrdWxjQ0NtNDJYUy1kUFBjUE5OWUd6YThRSm5rdEswc3BIdnU1eE5LMjQ?oc=5"" target=""_blank"">América Latina e Caribe em 2019: uma expansão moderada</a>&nbsp;&nbsp;<font color=""#6f6f6f"">International Monetary Fund</font>",https://news.google.com/rss/articles/CBMitAFBVV95cUxPdHExMUlHS2N0QWZoVHdETGY0eTZlZFlJUkJzV1pHSXpzbS1YNzZ6RTVmam9PQkxsdGpjQTAyWTI2YlBXanhuS0VQMGtmRjdsV252Nm5jNUtMdFhIWVdXeGtTQy00M2JFSlc0enh0VmxrQWtrU3RQYXFTV3pHUXVuYkVkQUJHeHB4SjRrdWxjQ0NtNDJYUy1kUFBjUE5OWUd6YThRSm5rdEswc3BIdnU1eE5LMjQ?oc=5,2019-01-24
Propostas para um novo Brasil - Agência de Noticias CNI,Agência de Noticias CNI,Propostas para um novo Brasil,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNYzBDSHhEcG5kWGVZZGRrMGdhOWFGUnBSNmdkSmN4X2lWRU9ndDZEa2kzR2JyTjdxREN6U2lNUk85a2NoY0JiNjlNd2FRM1FjeUpkWU9vbUlYcUxVQ25UMUNvbzdmSzltTFhUOGlrOG1IMFo4NHk5bmhIV2ZweGxiQWsxb3JCdTdhUFE?oc=5"" target=""_blank"">Propostas para um novo Brasil</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência de Noticias CNI</font>",https://news.google.com/rss/articles/CBMiigFBVV95cUxNYzBDSHhEcG5kWGVZZGRrMGdhOWFGUnBSNmdkSmN4X2lWRU9ndDZEa2kzR2JyTjdxREN6U2lNUk85a2NoY0JiNjlNd2FRM1FjeUpkWU9vbUlYcUxVQ25UMUNvbzdmSzltTFhUOGlrOG1IMFo4NHk5bmhIV2ZweGxiQWsxb3JCdTdhUFE?oc=5,2019-01-16
"Governo parece não estar preparado para desafio da Previdência, diz Ellery - Poder360",Poder360,"Governo parece não estar preparado para desafio da Previdência, diz Ellery","<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPR0xhMDRzMi14VVEwUmppTkRuZEJTVnJXeU5TYXNJZi1YaGkwWjZTbGpGUVRzOHVTUVZCRFN3c0FfaWkyR3Rwczg4elc1UEVCVDhDV3Y0bGoyWDE3eHJ6Unc1bWhJNFBpMzNiUllnTnMyQlNBWDNaM1dHTVBrVndjR0N6dHZZVFBEeWNYdW9IMU5TUDZsTGRKNVVKWnVOUHlHVkh4Z1RXRHhRM2RmNFVRWnpVSTJyNHgxYV9WZzFJWHVXZXow?oc=5"" target=""_blank"">Governo parece não estar preparado para desafio da Previdência, diz Ellery</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Poder360</font>",https://news.google.com/rss/articles/CBMixAFBVV95cUxPR0xhMDRzMi14VVEwUmppTkRuZEJTVnJXeU5TYXNJZi1YaGkwWjZTbGpGUVRzOHVTUVZCRFN3c0FfaWkyR3Rwczg4elc1UEVCVDhDV3Y0bGoyWDE3eHJ6Unc1bWhJNFBpMzNiUllnTnMyQlNBWDNaM1dHTVBrVndjR0N6dHZZVFBEeWNYdW9IMU5TUDZsTGRKNVVKWnVOUHlHVkh4Z1RXRHhRM2RmNFVRWnpVSTJyNHgxYV9WZzFJWHVXZXow?oc=5,2019-01-19
Construtora pode reter até 50% do valor pago na desistência do imóvel - JOTA,JOTA,Construtora pode reter até 50% do valor pago na desistência do imóvel,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPbFZaMmV4QlJrZ3VOYVgtYTdmMGlaOVE2UHRHQWhrSkVfZTJ0Y2ViSGYzOHMxdmk1dlRCdGJtanVRZGJMVVRpb2d4dGlWb1JSbmZRcWdrSnBaQV9iekJHUkFPQXVIWTdIRFVWVVk2TENsTUdubGJEb09TVjUwWTRTT01wZVRWMkpoY0dyMGlvaUI3X3UwcjNPUkR0R1JKb1E?oc=5"" target=""_blank"">Construtora pode reter até 50% do valor pago na desistência do imóvel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">JOTA</font>",https://news.google.com/rss/articles/CBMinwFBVV95cUxPbFZaMmV4QlJrZ3VOYVgtYTdmMGlaOVE2UHRHQWhrSkVfZTJ0Y2ViSGYzOHMxdmk1dlRCdGJtanVRZGJMVVRpb2d4dGlWb1JSbmZRcWdrSnBaQV9iekJHUkFPQXVIWTdIRFVWVVk2TENsTUdubGJEb09TVjUwWTRTT01wZVRWMkpoY0dyMGlvaUI3X3UwcjNPUkR0R1JKb1E?oc=5,2019-01-08
